X	Y	Orientation	Result
5	1	h	true
0	7	h	false
6	0	h	true
1	5	v	true
9	0	v	false
4	5	h	true
4	8	h	false
2	8	v	true
8	4	v	false
7	6	h	false
1	8	h	false
0	2	v	true
2	1	h	true
9	2	h	true
0	9	v	true
3	0	v	true
0	3	v	true
1	9	h	false
6	7	v	false
5	7	v	true
7	7	v	false
4	4	h	true
9	7	h	false
8	5	h	true
6	4	h	true
9	5	v	false
2	2	h	true
0	0	v	true
7	1	v	false
1	7	h	false
9	3	v	false
2	0	h	true
3	6	h	false
1	1	h	true
3	9	v	true
5	3	h	true
6	8	h	false
5	6	v	true
3	3	h	true
6	9	h	false
6	3	h	true
8	0	h	true
5	4	h	true
6	2	v	false
6	5	h	true
0	1	v	true
4	2	v	true
1	3	h	true
5	8	h	false
3	5	v	true
0	6	h	false
6	1	v	false
3	7	h	false
2	7	h	false
0	4	h	true
1	4	h	true
9	6	h	false
8	3	h	true
5	9	v	true
8	6	v	false
7	0	h	true
8	7	v	false
1	2	h	true
7	2	h	true
5	0	v	true
4	6	h	false
2	3	v	true
1	6	v	true
8	2	v	false
4	1	v	true
1	0	h	true
3	1	h	true
4	9	v	true
2	6	h	false
7	3	v	false
3	4	h	true
5	2	h	true
0	8	v	true
2	5	v	true
2	9	h	false
4	0	h	true
7	8	v	false
3	2	v	true
5	5	h	true
7	4	v	false
9	8	v	false
3	8	v	true
9	1	h	true
8	8	v	false
4	7	h	false
9	4	h	true
0	5	v	true
4	3	h	true
2	4	v	true
7	9	v	false
9	9	v	false
6	6	h	false
8	1	h	true
8	9	v	false
7	5	v	false
