X	Y	Orientation	Result
5	1	h	true
0	7	v	true
6	0	h	true
1	5	v	true
1	4	h	true
4	7	h	true
2	5	h	true
2	0	v	true
0	3	h	true
6	8	v	true
1	8	h	true
3	6	h	true
4	8	v	true
8	4	v	true
8	2	h	true
2	4	h	true
5	7	v	true
2	3	v	true
8	7	h	true
6	2	v	true
1	0	v	true
9	5	v	false
8	1	v	true
1	6	v	true
2	8	h	true
9	1	v	false
7	5	v	true
3	7	v	true
4	3	v	true
5	9	h	false
2	9	v	true
3	8	v	true
5	4	v	true
6	9	h	false
9	7	h	true
0	4	h	true
6	5	v	true
6	3	h	true
5	2	v	true
4	9	h	false
4	1	h	true
9	8	v	false
9	2	v	false
7	0	h	true
7	1	h	true
1	3	h	true
0	0	h	true
7	9	h	false
8	8	h	true
0	5	v	true
7	7	v	true
5	0	h	true
3	3	h	true
3	1	h	true
0	6	h	true
5	5	h	true
2	6	h	true
7	8	h	true
9	9	v	false
3	4	h	true
1	9	h	false
4	4	v	true
8	9	h	false
8	0	h	true
9	0	v	false
5	3	h	true
6	1	v	true
3	9	h	false
8	5	v	true
6	4	v	true
9	4	v	false
5	8	v	true
2	7	v	true
3	2	v	true
9	3	v	false
0	9	h	false
9	6	v	false
4	5	h	true
3	0	v	true
0	2	v	true
5	6	v	true
0	1	v	true
2	1	v	true
7	6	v	true
4	2	h	true
8	6	h	true
1	7	h	true
7	2	v	true
3	5	h	true
6	6	v	true
7	3	v	true
4	6	v	true
1	2	v	true
7	4	h	true
2	2	h	true
0	8	h	true
4	0	h	true
1	1	v	true
8	3	h	true
9	7	v	false
6	7	v	true
2	9	h	false
